Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,AdoptionSpeed
1,307,2,7,1,1,2,2,2,1,0,41326,1
1,307,2,7,1,1,2,2,2,1,0,41332,2
2,307,2,7,1,1,2,2,2,1,0,41326,3
4,307,2,7,1,1,2,2,2,1,20,41327,4
4,307,2,7,1,1,2,2,2,1,0,41326,3
1,15,1,1,2,1,2,2,2,1,0,41335,3
2,31,1,1,2,1,2,2,2,1,0,41326,1
0,50,1,1,2,1,2,2,2,1,0,41401,3
0,50,1,1,2,1,2,2,2,1,0,41401,2
1,70,1,1,2,1,2,2,2,1,0,41326,1
1,70,1,1,2,1,2,2,2,1,0,41326,1
1,70,1,1,2,1,2,2,2,1,0,41326,2
10,78,1,1,2,1,2,2,2,1,0,41326,2
36,103,1,1,2,1,2,2,2,1,0,41326,3
1,141,1,1,2,1,2,2,2,1,0,41325,1
2,148,1,1,2,1,2,2,2,1,0,41326,1
4,173,1,1,2,1,2,2,2,1,0,41326,4
2,189,1,1,2,1,2,2,2,1,0,41401,1
3,189,1,1,2,1,2,2,2,1,0,41401,3
2,218,1,1,2,1,2,2,2,1,0,41326,1
3,218,1,1,2,1,2,2,2,1,0,41326,3
0,307,1,1,2,1,2,2,2,1,0,41326,1
1,307,1,1,2,1,2,2,2,1,0,41326,2
1,307,1,1,2,1,2,2,2,1,0,41326,3
1,307,1,1,2,1,2,2,2,1,0,41326,1
1,307,1,1,2,1,2,2,2,1,0,41326,1
1,307,1,1,2,1,2,2,2,1,50,41326,3
1,307,1,1,2,1,2,2,2,1,0,41401,1
1,307,1,1,2,1,2,2,2,1,20,41327,2
1,307,1,1,2,1,2,2,2,1,0,41327,2
1,307,1,1,2,1,2,2,2,1,0,41326,1
1,307,1,1,2,1,2,2,2,1,0,41326,2
1,307,1,1,2,1,2,2,2,1,20,41327,2
1,307,1,1,2,1,2,2,2,1,0,41326,3
1,307,1,1,2,1,2,2,2,1,0,41330,2
1,307,1,1,2,1,2,2,2,1,20,41326,2
1,307,1,1,2,1,2,2,2,1,0,41326,2
1,307,1,1,2,1,2,2,2,1,0,41326,1
1,307,1,1,2,1,2,2,2,1,0,41326,1
1,307,1,1,2,1,2,2,2,1,50,41326,2
1,307,1,1,2,1,2,2,2,1,0,41326,2
1,307,1,1,2,1,2,2,2,1,0,41327,2
1,307,1,1,2,1,2,2,2,1,0,41336,2
1,307,1,1,2,1,2,2,2,1,0,41326,1
1,307,1,1,2,1,2,2,2,1,0,41326,1
1,307,1,1,2,1,2,2,2,1,0,41330,2
1,307,1,1,2,1,2,2,2,1,0,41326,3
1,307,1,1,2,1,2,2,2,1,20,41326,2
1,307,1,1,2,1,2,2,2,1,0,41330,2
1,307,1,1,2,1,2,2,2,1,0,41326,2
1,307,1,1,2,1,2,2,2,1,0,41401,2
1,307,1,1,2,1,2,2,2,1,0,41326,2
1,307,1,1,2,1,2,2,2,1,0,41326,3
1,307,1,1,2,1,2,2,2,1,0,41401,2
1,307,1,1,2,1,2,2,2,1,0,41326,3
1,307,1,1,2,1,2,2,2,1,0,41401,2
2,307,1,1,2,1,2,2,2,1,0,41327,3
2,307,1,1,2,1,2,2,2,1,0,41401,1
2,307,1,1,2,1,2,2,2,1,0,41326,3
2,307,1,1,2,1,2,2,2,1,0,41326,3
2,307,1,1,2,1,2,2,2,1,0,41326,1
2,307,1,1,2,1,2,2,2,1,0,41326,2
2,307,1,1,2,1,2,2,2,1,0,41326,1
2,307,1,1,2,1,2,2,2,1,20,41327,3
2,307,1,1,2,1,2,2,2,1,0,41326,2
2,307,1,1,2,1,2,2,2,1,0,41401,1
2,307,1,1,2,1,2,2,2,1,0,41401,2
2,307,1,1,2,1,2,2,2,1,0,41326,1
2,307,1,1,2,1,2,2,2,1,0,41326,3
2,307,1,1,2,1,2,2,2,1,0,41401,1
2,307,1,1,2,1,2,2,2,1,1,41336,1
2,307,1,1,2,1,2,2,2,1,20,41327,3
2,307,1,1,2,1,2,2,2,1,0,41326,2
2,307,1,1,2,1,2,2,2,1,80,41326,3
2,307,1,1,2,1,2,2,2,1,0,41326,3
2,307,1,1,2,1,2,2,2,1,20,41327,2
2,307,1,1,2,1,2,2,2,1,0,41401,2
2,307,1,1,2,1,2,2,2,1,0,41326,2
2,307,1,1,2,1,2,2,2,1,0,41326,1
2,307,1,1,2,1,2,2,2,1,0,41326,4
2,307,1,1,2,1,2,2,2,1,0,41401,2
2,307,1,1,2,1,2,2,2,1,0,41326,2
2,307,1,1,2,1,2,2,2,1,0,41326,4
2,307,1,1,2,1,2,2,2,1,0,41326,1
2,307,1,1,2,1,2,2,2,1,0,41327,2
2,307,1,1,2,1,2,2,2,1,0,41326,1
2,307,1,1,2,1,2,2,2,1,0,41326,1
2,307,1,1,2,1,2,2,2,1,1,41336,1
2,307,1,1,2,1,2,2,2,1,0,41401,3
2,307,1,1,2,1,2,2,2,1,0,41401,1
2,307,1,1,2,1,2,2,2,1,0,41326,2
2,307,1,1,2,1,2,2,2,1,0,41326,3
2,307,1,1,2,1,2,2,2,1,0,41326,4
2,307,1,1,2,1,2,2,2,1,0,41401,2
2,307,1,1,2,1,2,2,2,1,0,41326,2
2,307,1,1,2,1,2,2,2,1,0,41326,3
2,307,1,1,2,1,2,2,2,1,20,41327,3
2,307,1,1,2,1,2,2,2,1,0,41336,1
2,307,1,1,2,1,2,2,2,1,0,41401,3
2,307,1,1,2,1,2,2,2,1,0,41326,1
2,307,1,1,2,1,2,2,2,1,0,41326,2
2,307,1,1,2,1,2,2,2,1,0,41326,4
2,307,1,1,2,1,2,2,2,1,20,41327,2
2,307,1,1,2,1,2,2,2,1,0,41326,4
2,307,1,1,2,1,2,2,2,1,0,41326,1
2,307,1,1,2,1,2,2,2,1,0,41326,4
3,307,1,1,2,1,2,2,2,1,0,41326,2
3,307,1,1,2,1,2,2,2,1,0,41401,3
3,307,1,1,2,1,2,2,2,1,0,41326,2
3,307,1,1,2,1,2,2,2,1,0,41401,3
3,307,1,1,2,1,2,2,2,1,0,41326,4
3,307,1,1,2,1,2,2,2,1,0,41401,2
3,307,1,1,2,1,2,2,2,1,0,41401,0
3,307,1,1,2,1,2,2,2,1,0,41326,1
3,307,1,1,2,1,2,2,2,1,0,41326,1
3,307,1,1,2,1,2,2,2,1,0,41401,4
3,307,1,1,2,1,2,2,2,1,10,41325,2
3,307,1,1,2,1,2,2,2,1,0,41401,2
3,307,1,1,2,1,2,2,2,1,0,41326,2
3,307,1,1,2,1,2,2,2,1,0,41326,2
3,307,1,1,2,1,2,2,2,1,0,41326,2
3,307,1,1,2,1,2,2,2,1,0,41326,2
3,307,1,1,2,1,2,2,2,1,0,41401,3
4,307,1,1,2,1,2,2,2,1,0,41401,1
4,307,1,1,2,1,2,2,2,1,0,41326,1
4,307,1,1,2,1,2,2,2,1,0,41401,1
4,307,1,1,2,1,2,2,2,1,0,41325,2
4,307,1,1,2,1,2,2,2,1,0,41401,1
4,307,1,1,2,1,2,2,2,1,0,41326,2
5,307,1,1,2,1,2,2,2,1,0,41401,3
6,307,1,1,2,1,2,2,2,1,0,41401,3
8,307,1,1,2,1,2,2,2,1,0,41327,4
8,307,1,1,2,1,2,2,2,1,0,41326,4
10,307,1,1,2,1,2,2,2,1,0,41326,3
12,307,1,1,2,1,2,2,2,1,0,41336,1
12,307,1,1,2,1,2,2,2,1,0,41326,3
12,307,1,1,2,1,2,2,2,1,0,41326,4
12,307,1,1,2,1,2,2,2,1,0,41326,3
13,307,1,1,2,1,2,2,2,1,0,41401,4
17,307,1,1,2,1,2,2,2,1,0,41336,4
24,307,1,1,2,1,2,2,2,1,0,41326,3
24,307,1,1,2,1,2,2,2,1,0,41327,4
24,307,1,1,2,1,2,2,2,1,0,41332,4
36,307,1,1,2,1,2,2,2,1,0,41327,4
96,307,1,1,2,1,2,2,2,1,0,41327,4
1,15,2,1,2,1,2,2,2,1,0,41335,3
11,20,2,1,2,1,2,2,2,1,0,41326,2
3,39,2,1,2,1,2,2,2,1,0,41326,3
1,70,2,1,2,1,2,2,2,1,0,41326,1
1,70,2,1,2,1,2,2,2,1,0,41326,1
3,75,2,1,2,1,2,2,2,1,0,41401,3
4,76,2,1,2,1,2,2,2,1,0,41326,4
1,81,2,1,2,1,2,2,2,1,0,41401,1
2,103,2,1,2,1,2,2,2,1,0,41401,2
1,141,2,1,2,1,2,2,2,1,0,41325,1
1,141,2,1,2,1,2,2,2,1,0,41325,2
1,141,2,1,2,1,2,2,2,1,0,41325,2
1,141,2,1,2,1,2,2,2,1,0,41325,1
3,141,2,1,2,1,2,2,2,1,0,41325,0
2,185,2,1,2,1,2,2,2,1,0,41326,2
2,189,2,1,2,1,2,2,2,1,0,41401,3
1,218,2,1,2,1,2,2,2,1,50,41326,1
2,218,2,1,2,1,2,2,2,1,0,41326,3
2,218,2,1,2,1,2,2,2,1,0,41326,2
2,224,2,1,2,1,2,2,2,1,0,41401,3
0,307,2,1,2,1,2,2,2,1,0,41336,2
0,307,2,1,2,1,2,2,2,1,0,41336,0
1,307,2,1,2,1,2,2,2,1,0,41332,3
1,307,2,1,2,1,2,2,2,1,0,41326,2
1,307,2,1,2,1,2,2,2,1,0,41326,4
1,307,2,1,2,1,2,2,2,1,0,41327,3
1,307,2,1,2,1,2,2,2,1,100,41326,3
1,307,2,1,2,1,2,2,2,1,0,41326,3
1,307,2,1,2,1,2,2,2,1,0,41326,2
1,307,2,1,2,1,2,2,2,1,0,41326,1
1,307,2,1,2,1,2,2,2,1,20,41327,1
1,307,2,1,2,1,2,2,2,1,0,41326,2
1,307,2,1,2,1,2,2,2,1,0,41326,3
1,307,2,1,2,1,2,2,2,1,0,41401,2
1,307,2,1,2,1,2,2,2,1,0,41326,1
1,307,2,1,2,1,2,2,2,1,0,41330,2
1,307,2,1,2,1,2,2,2,1,20,41327,2
1,307,2,1,2,1,2,2,2,1,0,41326,4
1,307,2,1,2,1,2,2,2,1,0,41326,2
1,307,2,1,2,1,2,2,2,1,0,41401,2
1,307,2,1,2,1,2,2,2,1,0,41326,2
1,307,2,1,2,1,2,2,2,1,0,41326,2
1,307,2,1,2,1,2,2,2,1,0,41401,1
1,307,2,1,2,1,2,2,2,1,0,41326,1
1,307,2,1,2,1,2,2,2,1,0,41326,2
1,307,2,1,2,1,2,2,2,1,0,41326,4
1,307,2,1,2,1,2,2,2,1,0,41326,1
1,307,2,1,2,1,2,2,2,1,20,41327,2
1,307,2,1,2,1,2,2,2,1,0,41327,1
1,307,2,1,2,1,2,2,2,1,20,41327,1
1,307,2,1,2,1,2,2,2,1,0,41332,3
1,307,2,1,2,1,2,2,2,1,0,41326,2
1,307,2,1,2,1,2,2,2,1,0,41401,3
1,307,2,1,2,1,2,2,2,1,0,41401,2
1,307,2,1,2,1,2,2,2,1,0,41326,3
1,307,2,1,2,1,2,2,2,1,0,41326,3
1,307,2,1,2,1,2,2,2,1,0,41332,1
1,307,2,1,2,1,2,2,2,1,0,41326,4
1,307,2,1,2,1,2,2,2,1,0,41332,2
1,307,2,1,2,1,2,2,2,1,0,41326,1
1,307,2,1,2,1,2,2,2,1,0,41326,3
1,307,2,1,2,1,2,2,2,1,0,41326,2
1,307,2,1,2,1,2,2,2,1,0,41327,3
1,307,2,1,2,1,2,2,2,1,0,41401,3
1,307,2,1,2,1,2,2,2,1,0,41330,3
1,307,2,1,2,1,2,2,2,1,0,41401,3
1,307,2,1,2,1,2,2,2,1,0,41326,2
1,307,2,1,2,1,2,2,2,1,0,41327,3
1,307,2,1,2,1,2,2,2,1,0,41401,3
1,307,2,1,2,1,2,2,2,1,0,41326,2
1,307,2,1,2,1,2,2,2,1,0,41401,1
1,307,2,1,2,1,2,2,2,1,0,41326,4
2,307,2,1,2,1,2,2,2,1,0,41401,3
2,307,2,1,2,1,2,2,2,1,0,41401,1
2,307,2,1,2,1,2,2,2,1,0,41326,2
2,307,2,1,2,1,2,2,2,1,0,41326,1
2,307,2,1,2,1,2,2,2,1,0,41326,4
2,307,2,1,2,1,2,2,2,1,0,41326,3
2,307,2,1,2,1,2,2,2,1,0,41326,2
2,307,2,1,2,1,2,2,2,1,20,41327,3
2,307,2,1,2,1,2,2,2,1,0,41401,4
2,307,2,1,2,1,2,2,2,1,0,41326,2
2,307,2,1,2,1,2,2,2,1,20,41327,3
2,307,2,1,2,1,2,2,2,1,20,41327,3
2,307,2,1,2,1,2,2,2,1,0,41330,2
2,307,2,1,2,1,2,2,2,1,20,41327,3
2,307,2,1,2,1,2,2,2,1,0,41326,1
2,307,2,1,2,1,2,2,2,1,20,41327,3
2,307,2,1,2,1,2,2,2,1,20,41327,3
2,307,2,1,2,1,2,2,2,1,200,41401,4
2,307,2,1,2,1,2,2,2,1,0,41326,4
2,307,2,1,2,1,2,2,2,1,0,41326,4
2,307,2,1,2,1,2,2,2,1,0,41401,1
2,307,2,1,2,1,2,2,2,1,0,41326,4
2,307,2,1,2,1,2,2,2,1,0,41330,3
2,307,2,1,2,1,2,2,2,1,0,41326,4
2,307,2,1,2,1,2,2,2,1,0,41325,2
2,307,2,1,2,1,2,2,2,1,20,41327,3
2,307,2,1,2,1,2,2,2,1,0,41326,1
2,307,2,1,2,1,2,2,2,1,20,41327,3
2,307,2,1,2,1,2,2,2,1,0,41401,4
2,307,2,1,2,1,2,2,2,1,0,41326,3
2,307,2,1,2,1,2,2,2,1,0,41326,2
2,307,2,1,2,1,2,2,2,1,0,41401,2
2,307,2,1,2,1,2,2,2,1,0,41324,3
2,307,2,1,2,1,2,2,2,1,0,41326,2
2,307,2,1,2,1,2,2,2,1,0,41326,1
2,307,2,1,2,1,2,2,2,1,0,41326,3
2,307,2,1,2,1,2,2,2,1,20,41327,2
2,307,2,1,2,1,2,2,2,1,0,41326,2
2,307,2,1,2,1,2,2,2,1,20,41327,3
2,307,2,1,2,1,2,2,2,1,0,41401,0
2,307,2,1,2,1,2,2,2,1,20,41327,3
2,307,2,1,2,1,2,2,2,1,0,41326,1
2,307,2,1,2,1,2,2,2,1,0,41327,1
2,307,2,1,2,1,2,2,2,1,0,41326,4
2,307,2,1,2,1,2,2,2,1,0,41326,2
2,307,2,1,2,1,2,2,2,1,0,41326,4
2,307,2,1,2,1,2,2,2,1,0,41326,3
2,307,2,1,2,1,2,2,2,1,0,41326,1
2,307,2,1,2,1,2,2,2,1,0,41330,3
2,307,2,1,2,1,2,2,2,1,20,41327,3
2,307,2,1,2,1,2,2,2,1,0,41326,2
2,307,2,1,2,1,2,2,2,1,0,41326,4
2,307,2,1,2,1,2,2,2,1,1,41327,3
2,307,2,1,2,1,2,2,2,1,20,41327,2
3,307,2,1,2,1,2,2,2,1,0,41327,3
3,307,2,1,2,1,2,2,2,1,0,41336,2
3,307,2,1,2,1,2,2,2,1,0,41327,2
3,307,2,1,2,1,2,2,2,1,0,41401,4
3,307,2,1,2,1,2,2,2,1,0,41326,2
3,307,2,1,2,1,2,2,2,1,0,41326,4
3,307,2,1,2,1,2,2,2,1,0,41326,4
3,307,2,1,2,1,2,2,2,1,0,41326,4
3,307,2,1,2,1,2,2,2,1,0,41401,4
3,307,2,1,2,1,2,2,2,1,0,41326,1
3,307,2,1,2,1,2,2,2,1,0,41401,3
3,307,2,1,2,1,2,2,2,1,0,41401,4
3,307,2,1,2,1,2,2,2,1,0,41326,3
3,307,2,1,2,1,2,2,2,1,0,41326,4
3,307,2,1,2,1,2,2,2,1,20,41327,2
3,307,2,1,2,1,2,2,2,1,0,41326,4
3,307,2,1,2,1,2,2,2,1,0,41326,1
3,307,2,1,2,1,2,2,2,1,0,41326,1
3,307,2,1,2,1,2,2,2,1,0,41326,3
3,307,2,1,2,1,2,2,2,1,0,41401,4
3,307,2,1,2,1,2,2,2,1,0,41401,4
3,307,2,1,2,1,2,2,2,1,0,41326,2
3,307,2,1,2,1,2,2,2,1,0,41326,2
3,307,2,1,2,1,2,2,2,1,50,41401,2
4,307,2,1,2,1,2,2,2,1,0,41401,2
4,307,2,1,2,1,2,2,2,1,0,41326,1
4,307,2,1,2,1,2,2,2,1,0,41327,4
4,307,2,1,2,1,2,2,2,1,0,41326,0
5,307,2,1,2,1,2,2,2,1,0,41401,4
6,307,2,1,2,1,2,2,2,1,0,41326,4
6,307,2,1,2,1,2,2,2,1,0,41326,2
8,307,2,1,2,1,2,2,2,1,0,41401,4
8,307,2,1,2,1,2,2,2,1,0,41330,4
10,307,2,1,2,1,2,2,2,1,0,41326,4
12,307,2,1,2,1,2,2,2,1,20,41327,4
24,307,2,1,2,1,2,2,2,1,0,41325,4
25,307,2,1,2,1,2,2,2,1,0,41401,4
36,307,2,1,2,1,2,2,2,1,0,41326,4
36,307,2,1,2,1,2,2,2,1,20,41327,3
48,307,2,1,2,1,2,2,2,1,0,41401,4
1,15,1,2,2,1,2,2,2,1,0,41335,1
42,20,1,2,2,1,2,2,2,1,0,41327,1
0,50,1,2,2,1,2,2,2,1,0,41401,3
2,70,1,2,2,1,2,2,2,1,0,41326,1
3,218,1,2,2,1,2,2,2,1,0,41326,2
12,218,1,2,2,1,2,2,2,1,0,41326,4
0,307,1,2,2,1,2,2,2,1,50,41326,4
1,307,1,2,2,1,2,2,2,1,0,41330,3
1,307,1,2,2,1,2,2,2,1,0,41326,3
1,307,1,2,2,1,2,2,2,1,0,41326,1
1,307,1,2,2,1,2,2,2,1,20,41327,2
1,307,1,2,2,1,2,2,2,1,0,41326,1
1,307,1,2,2,1,2,2,2,1,0,41326,2
1,307,1,2,2,1,2,2,2,1,10,41327,1
1,307,1,2,2,1,2,2,2,1,0,41326,1
1,307,1,2,2,1,2,2,2,1,0,41335,1
1,307,1,2,2,1,2,2,2,1,0,41401,2
1,307,1,2,2,1,2,2,2,1,0,41332,3
1,307,1,2,2,1,2,2,2,1,20,41327,2
1,307,1,2,2,1,2,2,2,1,0,41401,1
1,307,1,2,2,1,2,2,2,1,0,41326,1
1,307,1,2,2,1,2,2,2,1,20,41326,2
1,307,1,2,2,1,2,2,2,1,0,41324,1
1,307,1,2,2,1,2,2,2,1,0,41326,4
1,307,1,2,2,1,2,2,2,1,20,41327,2
1,307,1,2,2,1,2,2,2,1,0,41326,1
1,307,1,2,2,1,2,2,2,1,50,41326,3
1,307,1,2,2,1,2,2,2,1,0,41332,1
1,307,1,2,2,1,2,2,2,1,0,41326,1
1,307,1,2,2,1,2,2,2,1,50,41326,3
1,307,1,2,2,1,2,2,2,1,20,41327,2
1,307,1,2,2,1,2,2,2,1,0,41327,1
1,307,1,2,2,1,2,2,2,1,0,41326,4
1,307,1,2,2,1,2,2,2,1,0,41332,3
2,307,1,2,2,1,2,2,2,1,1,41336,1
2,307,1,2,2,1,2,2,2,1,150,41326,1
2,307,1,2,2,1,2,2,2,1,0,41401,1
2,307,1,2,2,1,2,2,2,1,0,41401,4
2,307,1,2,2,1,2,2,2,1,0,41326,2
2,307,1,2,2,1,2,2,2,1,20,41327,2
2,307,1,2,2,1,2,2,2,1,0,41326,2
2,307,1,2,2,1,2,2,2,1,0,41401,1
2,307,1,2,2,1,2,2,2,1,0,41326,2
2,307,1,2,2,1,2,2,2,1,0,41327,3
2,307,1,2,2,1,2,2,2,1,0,41326,3
2,307,1,2,2,1,2,2,2,1,0,41326,4
2,307,1,2,2,1,2,2,2,1,0,41336,1
2,307,1,2,2,1,2,2,2,1,0,41326,2
2,307,1,2,2,1,2,2,2,1,0,41326,1
2,307,1,2,2,1,2,2,2,1,0,41326,4
2,307,1,2,2,1,2,2,2,1,0,41327,3
2,307,1,2,2,1,2,2,2,1,0,41401,1
2,307,1,2,2,1,2,2,2,1,0,41326,2
2,307,1,2,2,1,2,2,2,1,0,41326,2
2,307,1,2,2,1,2,2,2,1,0,41326,4
2,307,1,2,2,1,2,2,2,1,0,41326,2
2,307,1,2,2,1,2,2,2,1,0,41327,2
2,307,1,2,2,1,2,2,2,1,0,41401,0
2,307,1,2,2,1,2,2,2,1,100,41326,3
2,307,1,2,2,1,2,2,2,1,0,41326,3
2,307,1,2,2,1,2,2,2,1,0,41326,2
2,307,1,2,2,1,2,2,2,1,0,41326,2
2,307,1,2,2,1,2,2,2,1,0,41401,4
3,307,1,2,2,1,2,2,2,1,0,41326,1
3,307,1,2,2,1,2,2,2,1,1,41327,3
3,307,1,2,2,1,2,2,2,1,0,41401,1
3,307,1,2,2,1,2,2,2,1,0,41401,1
3,307,1,2,2,1,2,2,2,1,0,41326,2
3,307,1,2,2,1,2,2,2,1,0,41326,1
3,307,1,2,2,1,2,2,2,1,0,41326,3
3,307,1,2,2,1,2,2,2,1,0,41401,1
4,307,1,2,2,1,2,2,2,1,0,41401,2
4,307,1,2,2,1,2,2,2,1,0,41401,4
6,307,1,2,2,1,2,2,2,1,0,41326,4
7,307,1,2,2,1,2,2,2,1,0,41326,4
8,307,1,2,2,1,2,2,2,1,0,41330,2
8,307,1,2,2,1,2,2,2,1,0,41336,4
9,307,1,2,2,1,2,2,2,1,0,41326,3
10,307,1,2,2,1,2,2,2,1,0,41326,2
12,307,1,2,2,1,2,2,2,1,0,41326,4
24,307,1,2,2,1,2,2,2,1,0,41336,3
112,307,1,2,2,1,2,2,2,1,0,41336,2
1,15,2,2,2,1,2,2,2,1,0,41335,1
1,49,2,2,2,1,2,2,2,1,0,41401,2
